;WeekOfYear;Percentage;Week;Year
0;2015-42;0,40;42;2015
1;2015-43;0,50;43;2015
2;2015-44;0,68;44;2015
3;2015-45;0,76;45;2015
4;2015-46;0,88;46;2015
5;2015-47;1,02;47;2015
6;2015-48;1,16;48;2015
7;2015-49;1,21;49;2015
8;2015-50;1,45;50;2015
9;2015-51;1,66;51;2015
10;2015-52;2,11;52;2015
11;2015-53;1,87;53;2015
12;2016-01;2,39;1;2016
13;2016-02;2,76;2;2016
14;2016-03;3,62;3;2016
15;2016-04;4,73;4;2016
16;2016-05;5,47;5;2016
17;2016-06;6,06;6;2016
18;2016-07;5,90;7;2016
19;2016-08;6,14;8;2016
20;2016-09;5,88;9;2016
21;2016-10;5,83;10;2016
22;2016-11;5,00;11;2016
23;2016-12;4,23;12;2016
24;2016-13;3,18;13;2016
25;2016-14;2,30;14;2016
26;2016-15;1,85;15;2016
27;2016-16;1,19;16;2016
28;2016-42;0,59;42;2016
29;2016-43;0,71;43;2016
30;2016-44;0,81;44;2016
31;2016-45;0,98;45;2016
32;2016-46;1,25;46;2016
33;2016-47;1,58;47;2016
34;2016-48;2,00;48;2016
35;2016-49;2,52;49;2016
36;2016-50;4,31;50;2016
37;2016-51;7,24;51;2016
38;2016-52;9,55;52;2016
39;2017-01;9,09;1;2017
40;2017-02;8,70;2;2017
41;2017-03;7,62;3;2017
42;2017-04;6,62;4;2017
43;2017-05;5,65;5;2017
44;2017-06;4,25;6;2017
45;2017-07;3,20;7;2017
46;2017-08;2,64;8;2017
47;2017-09;2,19;9;2017
48;2017-10;1,76;10;2017
49;2017-11;1,48;11;2017
50;2017-12;1,23;12;2017
51;2017-13;1,03;13;2017
52;2017-14;0,86;14;2017
53;2017-15;0,67;15;2017
54;2017-16;0,59;16;2017
55;2017-17;0,54;17;2017
56;2017-42;0,89;42;2017
57;2017-43;0,85;43;2017
58;2017-44;0,95;44;2017
59;2017-45;1,24;45;2017
60;2017-46;1,60;46;2017
61;2017-47;1,85;47;2017
62;2017-48;2,38;48;2017
63;2017-49;3,11;49;2017
64;2017-50;4,73;50;2017
65;2017-51;7,20;51;2017
66;2017-52;11,45;52;2017
67;2018-01;13,80;1;2018
68;2018-02;14,74;2;2018
69;2018-03;13,88;3;2018
70;2018-04;12,69;4;2018
71;2018-05;10,72;5;2018
72;2018-06;8,96;6;2018
73;2018-07;7,13;7;2018
74;2018-08;6,24;8;2018
75;2018-09;4,75;9;2018
76;2018-10;3,62;10;2018
77;2018-11;2,62;11;2018
78;2018-12;2,16;12;2018
79;2018-13;1,72;13;2018
80;2018-14;1,31;14;2018
81;2018-15;1,08;15;2018
82;2018-16;0,87;16;2018
83;2018-17;0,62;17;2018