,Tonsillite,Virus_(biologia),Pagina_principale,Acido,Tosse,Bronchite,Vaccino,Sinusite,Antibiotico,Inverno,Influenza,Influnet
0,0.0,0.0,0.1713086975501428,0.0,0.0,0.0,0.0,0.0,0.0,3.2399437831350903,-0.6469207712943251,-0.6176846968639016
1,0.0,0.0,-0.39327420709611516,0.0,0.0,0.0,0.0,0.0,0.0,-0.24711435634081197,-0.7014388297898961,-0.6109852560823221
2,0.0,0.0,0.15876241078022596,0.0,0.0,3.4373513953892805,2.353367870974374,0.0,0.0,-0.24711435634081197,-0.8217545450904666,-0.601510169648136
3,0.0,0.0,-0.14234847169777828,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.7174182607282531,-0.5908618251009237
4,0.0,0.0,-0.2929039129367804,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.7550169217596814,-0.5833589079462211
5,0.0,0.0,0.10857726370055858,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.7606567209143956,-0.5729308346206178
6,0.0,0.0,0.18385498432005964,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.5886428466956113,-0.5500876817682645
7,0.0,0.0,-0.07961703784819407,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.6394010390880395,-0.5494622484550948
8,0.0,0.0,0.09603097693064173,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.57360338228304,-0.5235101898635556
9,0.0,0.0,0.24658641816964386,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,2.0614281655901356,-0.24711435634081197,-0.544464419983683,-0.5020948053958285
10,0.0,0.0,-0.06707075107827723,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,4.395692411920143,3.2399437831350903,-0.7399774573471101,-0.48674600993568007
11,0.0,0.0,-0.3305427732465309,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,-0.2728360807398709,-0.24711435634081197,-0.49088632801389775,-0.4771619291923557
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08388082234868659,-0.369738621797978
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08670072192604371,-0.32665277194009085
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13087914863797195,-0.2352653236090151
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010563433337401442,-0.07320790544560671
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2234882315832396,0.0949269440912106
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2244281981090253,0.17574023248338783
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23852769599581092,0.15895967408278094
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13231147858202602,0.15231843968618605
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07354119056504381,0.04481352922266309
21,-0.16785292125728174,0.0,3.7846392872861943,-0.45303186979657023,-0.45787307973984465,-0.28644594961577335,2.353367870974374,1.2186523124045474,-0.2728360807398709,-0.24711435634081197,-0.2568346630932567,-0.0259785598879709
22,-0.16785292125728174,0.0,0.2842252784793944,2.5463515440289983,-0.45787307973984465,-0.28644594961577335,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-0.12805924906061483,-0.07588596980573897
23,-0.16785292125728174,0.0,0.00820696954122383,1.0466598371162141,-0.45787307973984465,-0.28644594961577335,-0.42112898743751953,2.7911069090555762,2.0614281655901356,-0.24711435634081197,-0.31605255421775624,-0.21274630042991027
24,-0.16785292125728174,0.0,0.9240859037451534,-0.45303186979657023,-0.45787307973984465,3.4373513953892805,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-0.26529436182532806,-0.31175878519398986
25,-0.16785292125728174,0.0,1.438483661311744,-0.45303186979657023,-0.45787307973984465,-0.28644594961577335,-0.42112898743751953,5.936016102357634,-0.2728360807398709,3.2399437831350903,-0.637521106036468,-0.45763996418913305
26,-0.16785292125728174,0.7526684122249271,0.1713086975501428,2.5463515440289983,-0.45787307973984465,-0.28644594961577335,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-0.8104749467810382,-0.5149161883158054
27,-0.16785292125728174,-0.15845650783682674,0.033299543081057516,-0.45303186979657023,-0.45787307973984465,-0.28644594961577335,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,3.2399437831350903,-0.8518334739156093,-0.5664893280156374
28,-0.16785292125728174,-0.15845650783682674,-0.2050799055473625,-0.45303186979657023,-0.45787307973984465,-0.28644594961577335,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-0.2963132571762564,-0.5892531604021781
29,-0.16785292125728174,-0.15845650783682674,-0.016885603998609857,-0.45303186979657023,-0.45787307973984465,-0.28644594961577335,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-0.4730269640239693,-0.5842907807568105
30,-0.16785292125728174,-0.15845650783682674,-0.05452446430836039,-0.45303186979657023,-0.45787307973984465,-0.28644594961577335,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-0.46644719834346937,-0.574557189495192
31,-0.16785292125728174,-0.15845650783682674,0.04584582985097436,1.0466598371162141,-0.45787307973984465,-0.28644594961577335,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-0.3348518847334704,-0.550662897808114
32,-0.16785292125728174,-0.15845650783682674,-0.3305427732465309,-0.45303186979657023,-0.45787307973984465,-0.28644594961577335,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-0.3132326546403991,-0.5213502764599544
33,-0.16785292125728174,-0.15845650783682674,-0.28035762616686355,-0.45303186979657023,-0.45787307973984465,-0.28644594961577335,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-0.2991331567536135,-0.4857433764217759
34,-0.16785292125728174,-0.15845650783682674,-0.21762619231727934,-0.45303186979657023,-0.45787307973984465,-0.28644594961577335,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,0.05617418999338376,-0.39864608105457705
35,-0.16785292125728174,-0.15845650783682674,-0.2929039129367804,1.0466598371162141,-0.45787307973984465,-0.28644594961577335,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,0.25544709345995364,-0.3025210895064082
36,-0.16785292125728174,-0.15845650783682674,-0.26781133939694673,-0.45303186979657023,1.2315206972313066,-0.28644594961577335,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,0.8184870424055921,0.09240637936103711
37,-0.16785292125728174,-0.15845650783682674,-0.28035762616686355,-0.45303186979657023,-0.45787307973984465,-0.28644594961577335,2.353367870974374,-0.3538022842464815,-0.2728360807398709,3.2399437831350903,1.104236866244447,0.7234520434750026
38,-0.16785292125728174,-0.15845650783682674,-0.21762619231727934,1.0466598371162141,-0.45787307973984465,-0.28644594961577335,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,2.5781043786764357,2.016533706500654
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.900512897020933,2.0659617697185473
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.989685333534583,1.4683123043150055
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2602713095248745,0.8677799109022191
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8673653017464489,0.5105433589157399
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4753992604938091,0.20588429209549652
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11257218154052617,-0.10008156513273815
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10174018633861502,-0.2778507126862
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3508313156718274,-0.38309242194531545
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4532876669824695,-0.44239788043479
48,-0.16785292125728174,-0.15845650783682674,-0.3430890600164478,-0.45303186979657023,-0.45787307973984465,0.0,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-0.6610202691811107,-0.5055723515732515
49,-0.16785292125728174,-0.15845650783682674,-0.2301724790871962,-0.45303186979657023,-0.45787307973984465,0.0,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-0.7512570556565386,-0.5368326042150678
50,-0.16785292125728174,-0.15845650783682674,-0.19253361877744565,1.0466598371162141,-0.45787307973984465,0.0,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-0.7869757836363954,-0.5588020906418165
51,-0.16785292125728174,-0.15845650783682674,-0.3305427732465309,2.5463515440289983,-0.45787307973984465,0.0,2.353367870974374,1.2186523124045474,-0.2728360807398709,-0.24711435634081197,-0.8424338086577522,-0.5772780526678131
52,-0.16785292125728174,-0.15845650783682674,-0.30545019970669723,-0.45303186979657023,-0.45787307973984465,0.0,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-0.9420702603910371,-0.5946646422532614
53,-0.16785292125728174,-0.15845650783682674,0.8739007566654861,1.0466598371162141,-0.45787307973984465,0.0,-0.42112898743751953,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-1.0877650718878218,-0.6130595718609458
54,-0.16785292125728174,-0.15845650783682674,-0.25526505262702986,-0.45303186979657023,1.2315206972313066,0.0,2.353367870974374,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-1.032307046866465,-0.6156155169427766
55,-0.16785292125728174,-0.15845650783682674,-0.3556353467863646,-0.45303186979657023,-0.45787307973984465,0.0,2.353367870974374,-0.3538022842464815,-0.2728360807398709,-0.24711435634081197,-1.0511063773821792,-0.6192391497334947
56,0.0,0.0,-0.26781133939694673,-0.45303186979657023,-0.45787307973984465,0.0,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.30289302285675634,-0.5581601084544845
57,0.0,0.0,-0.15489475846769513,-0.45303186979657023,-0.45787307973984465,0.0,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.22487580121654263,-0.5583113309252784
58,0.0,0.0,-0.3179964864766141,-0.45303186979657023,1.2315206972313066,0.0,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.30195305633097064,-0.5518401504769724
59,0.0,0.0,-0.39327420709611516,-0.45303186979657023,1.2315206972313066,0.0,2.353367870974374,0.0,0.0,-0.24711435634081197,-0.1929169393398286,-0.5133309203012204
60,0.0,0.0,-0.3305427732465309,1.0466598371162141,1.2315206972313066,0.0,2.353367870974374,0.0,0.0,-0.24711435634081197,-0.4448279682503981,-0.497802369828619
61,0.0,0.0,-0.3556353467863646,0.0,-0.45787307973984465,0.0,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.35647111482654165,-0.46392568311665416
62,0.0,0.0,-0.16744104523761197,0.0,1.2315206972313066,0.0,2.353367870974374,0.0,0.0,-0.24711435634081197,-0.23709536605175682,-0.3930537028893744
63,0.0,0.0,-0.2050799055473625,0.0,1.2315206972313066,0.0,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.35459118177497023,-0.3360884834667873
64,0.0,0.0,-0.3807279203261983,0.0,1.2315206972313066,0.0,2.353367870974374,0.0,0.0,-0.24711435634081197,-0.1797574079788287,-0.12179311738288759
65,0.0,0.0,-0.3430890600164478,0.0,-0.45787307973984465,0.0,0.0,0.0,0.0,-0.24711435634081197,0.1576905747782401,0.30211314209530477
66,0.0,0.0,-0.28035762616686355,0.0,-0.45787307973984465,0.0,0.0,0.0,0.0,-0.24711435634081197,1.9238876767295836,2.092504451922432
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.581048661689785,4.043961959415728
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1392643945705028,3.9684351803421665
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7472983533178628,3.368619524375858
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.797932162274299,2.2925917535617177
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.476463610455587,1.626397422028621
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6239139715679508,0.7887276509812474
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5195776872057373,0.4494922795275558
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2648467587178107,0.21561160619794997
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17035774272097162,-0.11684443335751647
76,0.0,0.0,-0.2929039129367804,0.0,0.0,0.0,0.0,0.0,0.0,-0.24711435634081197,-0.442008068673041,-0.30364184774278147
77,0.0,0.0,-0.3430890600164478,0.0,0.0,0.0,0.0,0.0,0.0,3.2399437831350903,-0.47866676317868356,-0.40545622809779425
78,0.0,0.0,-0.3305427732465309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47396693054975503,-0.44796857386833155
79,0.0,0.0,-0.3179964864766141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6253015412012538,-0.5051500699566954
80,0.0,0.0,-0.3556353467863646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5689035496541114,-0.5354556237545951
81,0.0,0.0,-0.24271876585711305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5858229471182541,-0.5568692962698225
82,0.0,0.0,-0.004339317228693014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7108384950477532,-0.5817953246632971
83,0.0,0.0,-0.3430890600164478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9420702603910371,-0.6104146052491383
